,0,1,2,3
Name,cornell,harvard,berkeley,uiuc
Nodes,1572,1648,2015,1507
Edges,2585,3289,3050,1974
Connected Components,1,1,1,2
Percentage nodes in largest component,100.0,100.0,100.0,99.27007299270073
Average degree,3.2888040712468194,3.991504854368932,3.0272952853598016,2.619774386197744
Diameter,9,8,8,10
Average clustering coefficient,0.03909529724043606,0.05984341422536949,0.0232342096356908,0.011028306660085217
